1599998520000, 10330.47000000, 10344.45000000, 10330.47000000, 10344.16000000
1599998580000, 10344.15000000, 10350.23000000, 10331.40000000, 10333.95000000
1599998640000, 10333.95000000, 10345.00000000, 10329.99000000, 10340.25000000
1599998700000, 10340.86000000, 10343.99000000, 10320.01000000, 10334.13000000
1599998760000, 10334.12000000, 10337.10000000, 10320.00000000, 10322.92000000
1599998820000, 10322.92000000, 10331.77000000, 10310.75000000, 10326.86000000
1599998880000, 10326.87000000, 10328.19000000, 10322.19000000, 10324.00000000
1599998940000, 10323.99000000, 10338.35000000, 10322.35000000, 10337.26000000
1599999000000, 10337.26000000, 10339.30000000, 10331.65000000, 10335.83000000
1599999060000, 10335.63000000, 10340.00000000, 10335.00000000, 10339.53000000
1599999120000, 10339.60000000, 10340.15000000, 10339.31000000, 10340.14000000
1599999180000, 10340.20000000, 10344.83000000, 10340.15000000, 10344.82000000
1599999240000, 10344.76000000, 10351.76000000, 10344.50000000, 10349.34000000
1599999300000, 10349.33000000, 10349.34000000, 10332.59000000, 10336.55000000
1599999360000, 10336.06000000, 10342.46000000, 10335.01000000, 10341.66000000
1599999420000, 10341.66000000, 10342.94000000, 10337.66000000, 10340.01000000
1599999480000, 10340.01000000, 10340.36000000, 10335.25000000, 10336.29000000
1599999540000, 10336.30000000, 10336.53000000, 10333.54000000, 10334.65000000
1599999600000, 10334.53000000, 10349.51000000, 10332.55000000, 10348.29000000
1599999660000, 10348.29000000, 10349.59000000, 10347.89000000, 10349.45000000
1599999720000, 10349.45000000, 10350.00000000, 10344.58000000, 10345.03000000
1599999780000, 10345.02000000, 10348.08000000, 10344.42000000, 10347.64000000
1599999840000, 10347.65000000, 10352.21000000, 10345.52000000, 10351.54000000
1599999900000, 10351.53000000, 10351.53000000, 10331.76000000, 10340.00000000
1599999960000, 10340.00000000, 10349.44000000, 10340.00000000, 10345.82000000
1600000020000, 10345.83000000, 10349.49000000, 10345.05000000, 10345.63000000
1600000080000, 10345.63000000, 10347.67000000, 10343.62000000, 10345.16000000
1600000140000, 10345.17000000, 10349.75000000, 10344.67000000, 10347.99000000
1600000200000, 10347.99000000, 10348.39000000, 10337.29000000, 10338.02000000
1600000260000, 10338.01000000, 10345.07000000, 10337.82000000, 10338.11000000
1600000320000, 10338.10000000, 10338.10000000, 10330.00000000, 10331.00000000
1600000380000, 10331.00000000, 10334.41000000, 10330.00000000, 10331.31000000
1600000440000, 10331.31000000, 10335.78000000, 10328.06000000, 10333.41000000
1600000500000, 10333.41000000, 10333.41000000, 10330.00000000, 10331.85000000
1600000560000, 10331.85000000, 10331.97000000, 10327.27000000, 10327.36000000
1600000620000, 10327.07000000, 10327.23000000, 10307.36000000, 10311.74000000
1600000680000, 10311.66000000, 10320.00000000, 10309.74000000, 10316.08000000
1600000740000, 10316.08000000, 10316.62000000, 10307.00000000, 10307.01000000
1600000800000, 10307.01000000, 10319.78000000, 10305.00000000, 10315.88000000
1600000860000, 10315.88000000, 10316.87000000, 10309.41000000, 10314.54000000
1600000920000, 10314.54000000, 10334.59000000, 10314.00000000, 10332.43000000
1600000980000, 10332.43000000, 10346.27000000, 10332.03000000, 10333.66000000
1600001040000, 10333.74000000, 10340.87000000, 10332.05000000, 10339.03000000
1600001100000, 10339.04000000, 10343.13000000, 10339.04000000, 10342.68000000
1600001160000, 10342.68000000, 10342.69000000, 10333.86000000, 10338.39000000
1600001220000, 10338.68000000, 10343.37000000, 10338.37000000, 10343.26000000
1600001280000, 10343.26000000, 10346.02000000, 10333.35000000, 10334.17000000
1600001340000, 10334.17000000, 10336.12000000, 10327.02000000, 10332.41000000
1600001400000, 10332.35000000, 10332.35000000, 10325.37000000, 10327.67000000
